url,Product_Name,Data sheets
https://www.kongsberg.com/contentassets/9c7466e11a8d427bb564104e1a0a9f4a/datasheet_mgc_r3.pdf,Gyro Compass and INS MGC R3,
https://www.kongsberg.com/contentassets/9c7466e11a8d427bb564104e1a0a9f4a/datasheet_mgc_r4.pdf,Gyro Compass and INS MGC R4,
https://www.kongsberg.com/contentassets/9c7466e11a8d427bb564104e1a0a9f4a/datasheet_mgc_r5.pdf,Gyro Compass and INS MGC R5,
https://www.kongsberg.com/contentassets/9c7466e11a8d427bb564104e1a0a9f4a/datasheet_mgc_r1gc.pdf,Gyro Compass MGC R1,
https://www.kongsberg.com/maritime/products/deck-machinery-and-cranes/deck-machinery/seismic-vessels/spread-management/eBird/,Seismic cable control - eBird,"https://www.kongsberg.com/globalassets/maritime/km-products/documents/seismic_brochure.pdf, https://www.kongsberg.com/contentassets/85abd294cac147f48502c9da6209348f/57.dm_2p_11.04.19.pdf, https://www.kongsberg.com/contentassets/85abd294cac147f48502c9da6209348f/56.dm_2p_11.04.19.pdf"
https://www.kongsberg.com/maritime/products/deck-machinery-and-cranes/deck-machinery/seismic-vessels/spread-management/seatrack-220-320/,"GPS transponder, Seatrack 220 / 320",https://www.kongsberg.com/globalassets/maritime/km-products/documents/seismic_brochure.pdf
https://www.kongsberg.com/maritime/products/deck-machinery-and-cranes/deck-machinery/seismic-vessels/spread-management/seatrack-330/,"GPS transponder, Seatrack 330",https://www.kongsberg.com/globalassets/maritime/km-products/documents/seismic_brochure.pdf
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144.pdf,MBR 144,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_oem.pdf,MBR144 OEM,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2portable.pdf,MBR 189 Portable,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mk2fcc_aug22.pdf,MBR 179 MK2 FCC,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_personal.pdf,MBR 144 Personal,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mkii.pdf,MBR 179,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144fcc_sep22.pdf,MBR 144 FCC,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mk2fccportable_aug22.pdf,MBR 179 MK2 FCC Portable,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_submersible.pdf,MBR 144 Submersible,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr179mk2portable.pdf,MBR 179 Portable,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144fcc_submersible_sep22.pdf,MBR 144 FCC Submersible,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2_fcc_aug22.pdf,MBR 189 MK2 FCC,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144_uav_jun23.pdf,MBR 144 UAV,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2.pdf,MBR 189,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr144fcc_oem_aug22.pdf,MBR 144 FCC OEM,
https://www.kongsberg.com/contentassets/a1b8bf7c95d84236a8089a8a691a0e6d/datasheet_mbr189mk2fccportable_aug22.pdf,MBR 189 MK2 FCC Portable,
